SKU Code,Store Name,Closing Stock,In Transit,Avg Off-take/Day,Lead Time (Days),MRP,Style,Colour,Size,System Status,Sold Wk-8,Sold Wk-7,Sold Wk-6,Sold Wk-5,Sold Wk-4,Sold Wk-3,Sold Wk-2,Sold Wk-1
CRE-BLA-S,Mumbai,55,0,3.0,12,"1,999.00",Crew Tee,Black,S,,22,24,17,19,17,24,23,16
CRE-BLA-S,Delhi, 86 ,0,5.8,7,"₹1,999",Crew Tee,Black,S,OK,35,31,40,39,48,41,43,41
CRE-BLA-S,Bengaluru,37,0,3.0,9,"Rs. 1,999",Crew Tee,Black,S,OK,18,19,16,24,20,25,20,26
CRE-BLA-S,Hyderabad,13,11,1.7,5,"₹1,999",Crew Tee,Black,S,OK,13,11,11,9,11,14,10,13
CRE-BLA-S,Chennai,5,9,0.8,12,1999,Crew Tee,Black,S,OK,5,5,5,7,4,7,7,6
CRE-BLA-S,Kolkata, 69 ,0,1.7,12,"₹1,999",Crew Tee,Black,S,OK,12,9,13,14,11,9,10,13
CRE-BLA-S,Pune,72,18,3.8,9,"Rs. 1,999",Crew Tee,Black,S,,28,24,23,28,30,22,28,27
CRE-BLA-S,Ahmedabad,38,0,5.4,5,"₹1,999",Crew Tee,Black,S,Reorder,42,36,36,45,38,38,46,47
CRE-BLA-S,Jaipur,8,0,1.8,5,"₹1,999",Crew Tee,Black,S,,12,11,10,11,13,16,10,10
CRE-BLA-S,Lucknow,82,54,5.9,7,1999,Crew Tee,Black,S,OK,31,44,41,46,38,52,33,42
CRE-BLA-S,Surat,103,0,5.5,7,"1,999.00",Crew Tee,Black,S,OK,30,45,47,29,38,29,42,36
CRE-BLA-S,Indore,5,0,3.8,5,1999,Crew Tee,Black,S,OK,25,30,28,26,31,21,30,20
CRE-BLA-S,Nagpur,70, 11 ,3.1,7,"Rs. 1,999",Crew Tee,Black,S,Excess,24,18,18,26,23,21,26,20
CRE-BLA-S,Kochi,52,0,1.6,12,"Rs. 1,999",Crew Tee,Black,S,Excess,12,10,9,11,13,13,12,14
CRE-BLA-S,Chandigarh,38,0,5.0,5,"Rs. 1,999",Crew Tee,Black,S,OK,35,38,39,41,37,32,41,31
CRE-BLA-S,Bhopal,66,0,3.8,9,"Rs. 1,999",Crew Tee,Black,S,Excess,22,30,23,30,31,33,21,21
CRE-BLA-S,Patna,27,0,5.8,7,1999,Crew Tee,Black,S,Reorder,41,31,35,46,41,50,41,51
CRE-BLA-S,Vadodara,5,25,2.7,7,1999,Crew Tee,Black,S,Reorder,57,44,49,56,54,58,46,51
CRE-BLA-S,Ludhiana,3,0,1.0,5,"1,999.00",Crew Tee,Black,S,Excess,8,6,8,8,6,6,7,7
CRE-BLA-S,Agra,11,20,3.2,5,"Rs. 1,999",Crew Tee,Black,S,,26,18,18,23,25,83,25,27
CRE-BLA-S,Nashik,47,0,3.7,5,1999,Crew Tee,Black,S,,56,10,10,46,56,10,56,10
CRE-BLA-S,Meerut,13,0,1.6,5,"₹1,999",Crew Tee,Black,S,,14,11,14,9,9,9,14,11
CRE-BLA-S,Rajkot,40,17,2.0,12,"Rs. 1,999",Crew Tee,Black,S,Excess,11,12,15,17,11,12,11,12
CRE-BLA-S,Varanasi,7,0,1.8,12,1999,Crew Tee,Black,S,Reorder,14,14,15,10,13,15,13,13
CRE-BLA-M,Mumbai,18,0,3.4,7,"Rs. 2,499",Crew Tee,Black,M,Excess,22,29,20,30,28,19,21,26
CRE-BLA-M,Delhi,88.5,0,2.6,12,2499,Crew Tee,Black,M,Excess,21,15,19,17,21,17,20,19
CRE-BLA-M,Bengaluru, 63 ,0,3.3,7,2499,Crew Tee,Black,M,OK,23,24,19,19,20,27,29,28
CRE-BLA-M,Hyderabad,83,0,3.7,7,"2,499.00",Crew Tee,Black,M,Excess,26,25,27,20,29,30,22,25
CRE-BLA-M,Chennai,38,0,2.7,7,N/A,Crew Tee,Black,M,Excess,22,22,23,23,20,16,20,17
CRE-BLA-M,Kolkata,25,11,2.0,5,"2,499.00",Crew Tee,Black,M,Excess,13,14,12,12,12,16,13,11
CRE-BLA-M,Pune,23,0,5.9,5,2499,Crew Tee,Black,M,OK,43,42,39,52,44,45,47,51
