sku_id,location,shelf_stock,qty_on_order,avg_sales_day,leadtime_days,selling_price,Line,Online Reserved,Damaged Stock,wk8_sold,wk7_sold,wk6_sold,wk5_sold,wk4_sold,wk3_sold,wk2_sold,wk1_sold
BP-FACE-30ml,Mumbai,131, 28 ,6.9,8,₹699,Face Serum,4,1,36,40,49,60,53,45,46,53
BP-FACE-30ml,Delhi,36,0,2.9,6,₹699,Face Serum,0,1,18,25,24,18,19,16,20,17
BP-FACE-30ml,Bengaluru,6,59,11.0,4,699,Face Serum,4,0,90,89,72,76,75,89,64,76
BP-FACE-30ml,Hyderabad Kiosk,16,0,5.3,4,Rs. 699,Face Serum,12,0,32,30,34,43,39,29,36,29
BP-FACE-30ml,Chennai,73,0,3.7,8,₹699,Face Serum,12,1,20,25,22,26,28,31,32,20
BP-FACE-30ml,Kolkata,279,0,13.7,8,699.00,Face Serum,0,0,86,86,91,98,117,75,84,117
BP-FACE-30ml,Pune Kiosk,173,0,13.1,6,699,Face Serum,12,0,75,103,92,85,70,80,91,92
BP-FACE-30ml,Ahmedabad,70,0,13.9,6,Rs. 699,Face Serum,12,3,89,97,117,77,117,119,106,112
BP-FACE-30ml,Jaipur,43,0,4.6,4,₹699,Face Serum,4,3,35,34,27,33,25,26,33,25
BP-FACE-30ml,Lucknow,15,0,3.5,8,699,Face Serum,0,0,22,26,28,19,28,20,19,19
BP-FACE-30ml,Surat,327,0,12.8,8,₹699,Face Serum,12,3,74,79,85,103,97,75,75,87
BP-FACE-30ml,Indore,75,41,5.4,6,₹699,Face Serum,12,3,41,39,33,33,45,43,35,35
BP-FACE-30ml,Nagpur, 62 ,0,5.7,6,699,Face Serum,12,0,36,33,43,43,36,44,47,37
BP-FACE-30ml,Kochi,35,0,8.9,4,₹699,Face Serum,0,0,52,72,62,76,49,188,52,55
BP-FACE-30ml,Chandigarh,4,0,6.3,4,699.00,Face Serum,0,0,54,40,38,53,45,34,33,33
BP-FACE-30ml,Bhopal,268, 104 ,12.7,8,699.00,Face Serum,0,0,103,90,111,76,70,84,95,101
BP-FACE-30ml,Patna Kiosk,17,0,3.1,6,699.00,Face Serum,0,1,24,17,18,16,24,21,16,19
BP-FACE-30ml,Vadodara,122,54,7.1,6,699.00,Face Serum,4,0,52,41,38,56,55,54,61,45
BP-FACE-30ml,Ludhiana,16,0,7.5,8,699,Face Serum,0,0,57,48,47,40,42,65,54,60
BP-FACE-30ml,Agra,69,0,10.5,4,699,Face Serum,0,1,66,89,75,70,74,69,58,57
BP-FACE-30ml,Nashik,93,69,8.3,6,₹699,Face Serum,4,0,48,58,62,56,66,59,44,55
BP-FACE-30ml,Meerut,82,0,4.2,8,Rs. 699,Face Serum,0,0,23,25,28,28,28,23,26,28
BP-FACE-30ml,Rajkot,105,0,13.6,6,699,Face Serum,0,3,89,111,72,86,96,85,90,99
BP-FACE-30ml,Varanasi,75,0,5.4,8,₹699,Face Serum,0,0,37,31,46,34,38,47,31,30
BP-FACE-30ml,Amritsar,14,0,4.2,4,699,Face Serum,12,0,25,31,37,30,28,22,25,29
BP-FACE-30ml,Noida,73.5,0,6.3,4,₹699,Face Serum,12,0,38,39,41,41,50,49,45,34
BP-FACE-30ml,Gurugram,27,0,6.4,4,₹699,Face Serum,0,0,46,49,34,52,40,43,43,34
BP-FACE-30ml,Coimbatore,207,0,11.7,8,699,Face Serum,0,1,92,70,64,93,89,62,63,79
BP-FACE-30ml,Madurai,239,0,11.9,6,N/A,Face Serum,0,3,65,67,97,73,101,103,96,68
BP-FACE-30ml,Guwahati,26,0,12.4,6,699,Face Serum,0,1,76,106,82,90,81,73,99,79
BP-FACE-30ml,Mumbai City Mall,48,0,10.9,6,₹699,Face Serum,12,3,89,59,58,69,71,94,85,74
BP-FACE-30ml,Delhi City Mall, 142 ,51,8.5,8,699,Face Serum,0,3,57,63,67,68,57,57,66,57
BP-FACE-30ml,Bengaluru City Mall Kiosk,139,29,12.9,4,699,Face Serum,0,1,112,96,106,109,91,106,93,102
BP-FACE-30ml,Hyderabad City Mall,69,0,8.1,4,699,Face Serum,4,3,47,66,71,56,45,62,45,65
BP-FACE-30ml,Chennai City Mall,96,-12,9.4,8,₹699,Face Serum,12,0,60,62,79,77,53,64,77,82
BP-FACE-30ml,Kolkata City Mall,55,0,10.7,,699.00,Face Serum,0,1,65,68,73,78,88,84,90,80
BP-FACE-50ml,Mumbai,25,49,7.6,6,₹999,Face Serum,0,1,66,42,47,51,60,54,42,57
BP-FACE-50ml,Delhi,85,0,6.1,8,₹999,Face Serum,0,0,34,45,53,37,41,36,53,47
BP-FACE-50ml,Bengaluru,18,0,4.4,8 days,999,Face Serum,4,0,32,36,24,28,33,28,37,28
BP-FACE-50ml,Hyderabad Kiosk,92,0,13.5,6,Rs. 999,Face Serum,4,1,72,94,77,86,108,98,110,96
BP-FACE-50ml,Chennai,64,0,,6,999,Face Serum,12,1,42,57,66,44,66,50,58,58
BP-FACE-50ml,Kolkata,110,0,11.2,6,999,Face Serum,0,0,86,66,59,81,75,64,67,89
BP-FACE-50ml,Pune Kiosk,176,0,13.8,8,999,Face Serum,12,0,74,102,73,95,336,80,121,101
BP-FACE-50ml,Ahmedabad,(5),0,8.8,6,₹999,Face Serum,0,0,56,63,68,70,62,52,62,49
BP-FACE-50ml,Jaipur,173,93,12.8,8,₹999,Face Serum,12,0,100,110,86,70,71,76,100,81
BP-FACE-50ml,Lucknow,33,0,2.4,6,₹999,Face Serum,12,0,13,15,15,14,14,13,21,13
BP-FACE-50ml,Surat,128,103,12.0,8,₹999,Face Serum,0,0,70,76,94,89,75,65,80,104
BP-FACE-50ml,Indore,145,0,12.9,6,999,Face Serum,12,0,98,90,94,78,96,109,71,89
BP-FACE-50ml,Indore,145,0,12.9,6,999,Face Serum,12,0,98,90,94,78,96,109,71,89
BP-FACE-50ml,Nagpur,65,0,8.3,4,999.00,Face Serum,0,0,53,45,44,51,65,53,69,60
,Kochi,29,0,2.3,8,₹999,Face Serum,0,0,19,19,17,17,13,13,14,19
BP-FACE-50ml,Chandigarh,69,0,4.2,8,Rs. 999,Face Serum,0,0,35,36,26,32,34,34,22,23
BP-FACE-50ml,Bhopal,17,0,8.8,4,₹999,Face Serum,4,0,74,53,55,55,52,49,71,49
BP-FACE-50ml,Patna Kiosk,82,0,6.0,8,999.00,Face Serum,12,1,38,38,37,43,50,45,40,46
BP-FACE-50ml,Vadodara,32,0,2.5,8,999,Face Serum,0,3,20,19,17,17,18,20,22,15
BP-FACE-50ml,Ludhiana,183,0,9.2,6,999,Face Serum,0,1,74,63,71,65,69,72,58,74
BP-FACE-50ml,Agra,30,0,2.8,4,Rs. 999,Face Serum,0,1,23,16,21,18,23,24,24,17
BP-FACE-50ml,Nashik,92,0,7.2,4,999,Face Serum,0,3,53,47,62,53,54,41,40,38
BP-FACE-50ml,Meerut,36,0,5.3,6,Rs. 999,Face Serum,0,1,39,44,46,32,35,36,40,34
BP-FACE-50ml,Rajkot,98,0,12.6,8,999,Face Serum,4,1,109,75,69,102,106,71,84,77
BP-FACE-50ml,Varanasi,19,0,2.3,6,999,Face Serum,0,1,18,14,13,18,20,16,17,17
BP-FACE-50ml,Amritsar,88,0,4.9,8,999,Face Serum,0,0,37,31,31,43,39,35,37,31
BP-FACE-50ml,Noida,114,0,5.8,8,₹999,Face Serum,12,3,46,37,46,46,44,43,33,49
BP-FACE-50ml,Gurugram,76,0,6.3,6,₹999,Face Serum,0,3,33,52,33,41,39,49,38,51
BP-FACE-50ml,Coimbatore,18,0,10.7,6,999,Face Serum,4,1,74,58,91,74,82,61,93,82
BP-FACE-50ml,Madurai,40,0,12.7,6,₹999,Face Serum,0,3,105,84,75,100,82,108,84,80
BP-FACE-50ml,Guwahati,26,20,11.2,4,999,Face Serum,0,0,90,59,65,95,94,98,70,78
BP-FACE-50ml,Mumbai City Mall,102,0,8.5,4,₹999,Face Serum,0,1,59,47,52,71,74,48,52,50
BP-FACE-50ml,Delhi City Mall,140,53,7.0,8,999,Face Serum,0,1,38,58,39,51,55,46,56,51
BP-FACE-50ml,Bengaluru City Mall Kiosk,46,17,6.8,4,Rs. 999,Face Serum,4,0,58,42,49,49,57,46,42,47
BP-FACE-50ml,Hyderabad City Mall,91,0,10.7,6,999,Face Serum,0,0,68,78,71,85,82,87,90,69
BP-FACE-50ml,Chennai City Mall,35,16,2.5,6,999,Face Serum,0,0,21,22,14,14,20,20,13,14
BP-FACE-50ml,Kolkata City Mall,20,0,3.7,4,999,Face Serum,12,0,23,24,29,22,89,32,26,27
BP-FACE-100ml,Mumbai,92,0,12.2,4,₹999,Face Serum,4,0,76,83,79,77,64,96,87,89
BP-FACE-100ml,Delhi,129,0,12.2,6,999,Face Serum,0,3,84,67,74,104,104,100,98,97
BP-FACE-100ml,Bengaluru,234,0,10.7,8,999,Face Serum,4,3,93,64,90,82,88,90,81,85
BP-FACE-100ml,Hyderabad Kiosk, 40 ,0,3.7,8,₹999,Face Serum,12,0,24,25,30,20,29,25,22,21
BP-FACE-100ml,Chennai,212,0,10.4,6,999,Face Serum,0,0,63,75,72,58,88,85,79,72
BP-FACE-100ml,Kolkata,117,0,10.2,4,999,Face Serum,12,0,89,55,75,60,70,58,77,79
BP-FACE-100ml,Pune Kiosk,40.5,0,2.2,8,Rs. 999,Face Serum,0,0,13,14,18,16,13,15,15,19
BP-FACE-100ml,Ahmedabad,43,0,12.9,6,999,Face Serum,0,0,71,108,75,86,78,112,89,76
BP-FACE-100ml,Jaipur,10,0,2.1,4,999,Face Serum,4,0,12,17,16,15,15,13,12,14
BP-FACE-100ml,Lucknow, 50 ,0,3.3,8,999,Face Serum,4,3,25,18,21,20,20,18,26,19
BP-FACE-100ml,Surat,29,0,7.7,8,999.00,Face Serum,0,3,52,66,45,41,53,53,64,58
BP-FACE-100ml,Indore,22,0,6.6,4,Rs. 999,Face Serum,12,1,51,38,50,57,41,57,39,39
BP-FACE-100ml,Nagpur,40,0,13.9,6,999,Face Serum,12,0,95,98,110,119,111,121,118,114
BP-FACE-100ml,Kochi,214,0,10.8,6,₹999,Face Serum,12,0,60,71,79,65,90,61,79,75
BP-FACE-100ml,Chandigarh,75,0,3.4,8,₹999,Face Serum,0,3,23,22,19,20,18,22,23,29
BP-FACE-100ml,Bhopal,94,0,4.9,6,N/A,Face Serum,0,3,40,35,32,30,43,29,36,35
BP-FACE-100ml,Patna Kiosk,163,0,13.2,8,999,Face Serum,4,1,70,90,74,70,99,102,103,82
BP-FACE-100ml,Vadodara,47,0,7.5,4,999,Face Serum,0,0,64,50,42,54,55,56,65,57
