ISBN/SKU,store,closing_qty,on_order,sales_per_day,leadtime,mrp
BK-0001,Mumbai,4,0,0.7,9,249
BK-0001,Delhi,2,0,0.9,6,₹249
BK-0001,Bengaluru,14,3,0.9,6,₹249
BK-0001,Hyderabad,16,0,0.7,15,₹249
BK-0001,Chennai,9,0,0.5,9,249
BK-0001,Kolkata,11,5,0.7,15,249
BK-0001,Pune,12,0,0.9,9,249.00
BK-0001,Ahmedabad,16,0,0.7,9,249.00
BK-0001,Jaipur,0,0,0.7,9,₹249
BK-0001,Lucknow, 1 ,3,0.3,9,249
BK-0002,Mumbai,1,0,0.1,9,249
BK-0002,Delhi,0,0,0.7,15,249
BK-0002,Bengaluru,0,0,0.0,6,Rs. 249
BK-0002,Hyderabad,1,0,0.4,6,₹249
BK-0002,Chennai,0,0,0.0,6,₹249
BK-0002,Kolkata,7,0,0.8,6,249
BK-0002,Pune, 0 ,0,0.0,9,249
BK-0002,Ahmedabad,1,0,0.1,6,249
BK-0002,Jaipur,4,3,0.3,9,Rs. 249
BK-0002,Lucknow,3,0,0.2,6,249
BK-0003,Mumbai,17,12,0.7,15,149
BK-0003,Delhi,13,0,0.3,15,₹149
BK-0003,Bengaluru,0,0,0.1,6,149
BK-0003,Hyderabad,20,0,0.6,15,149
BK-0003,Chennai,4,0,0.1,15,Rs. 149
BK-0003,Kolkata,19.5,0,0.6,15,Rs. 149
BK-0003,Pune,9,0,0.3,15,149
BK-0003,Ahmedabad,17,0,0.4,15,Rs. 149
BK-0003,Jaipur,4,0,0.1,15,N/A
BK-0003,Lucknow,2,3,0.5,15,149
BK-0004,Mumbai,7,2,0.2,15,Rs. 149
BK-0004,Delhi,16,0,0.5,15,₹149
BK-0004,Bengaluru,35,0,0.7,15,149
BK-0004,Hyderabad,3,0,0.2,15,₹149
BK-0004,Chennai,0,-4,0.1,15,149.00
BK-0004,Kolkata,1,0,0.4,,149
BK-0004,Pune,12,0,0.4,15,149
BK-0004,Ahmedabad,7,0,0.5,9,149
BK-0004,Jaipur,0,0,0.4,9 days,149
BK-0004,Lucknow,7,0,0.6,6,149
BK-0005,Mumbai,8,0,,9,149.00
BK-0005,Delhi,8,0,0.3,9,₹149
BK-0005,Bengaluru,0,4,0.3,15,149
BK-0005,Hyderabad,(6),0,0.8,9,₹149
BK-0005,Chennai,1,0,0.3,15,149
BK-0005,Kolkata,10,0,0.8,6,149
