ACME RETAIL PVT LTD — WEEKLY STOCK REPORT (CONFIDENTIAL)
Report Date:,2026-08-17,,Prepared by:,MIS Team
Product,Qty,Notes
Item 1,-,check
Item 2,12,check
Item 3,N/A,
Item 4,12,
Item 5,N/A,
Item 6,29,check
Item 7,-,check
Item 8,-,check
Item 9,-,
Item 10,N/A,
Item 11,28,ok
Item 12,some,check
Item 13,-,check
Item 14,-,ok
Item 15,some,
Item 16,1,
Item 17,-,
Item 18,31,check
Item 19,some,
Item 20,N/A,ok
Item 21,10,
Item 22,48,
Item 23,some,check
Item 24,N/A,check
Item 25,N/A,ok
Item 26,37,
Item 27,43,ok
Item 28,N/A,ok
Item 29,N/A,
Item 30,-,check
Item 31,3,ok
Item 32,some,
Item 33,7,check
Item 34,N/A,
Item 35,38,ok
Item 36,33,check
Item 37,some,check
Item 38,some,check
Item 39,N/A,ok
Item 40,49,check
Item 41,some,ok
Item 42,N/A,check
Item 43,some,ok
Item 44,-,check
Item 45,N/A,
Item 46,-,check
Item 47,11,check
Item 48,N/A,check
Item 49,-,
Item 50,some,check
Item 51,N/A,
Item 52,-,ok
Item 53,some,
Item 54,12,
Item 55,-,check
Item 56,N/A,ok
Item 57,-,ok
Item 58,-,ok
Item 59,-,
Item 60,some,
Item 61,37,ok
Item 62,-,check
Item 63,-,check
Item 64,some,
Item 65,-,
Item 66,some,ok
Item 67,40,
Item 68,N/A,check
Item 69,some,
Item 70,some,check
Item 71,N/A,ok
Item 72,-,ok
Item 73,-,check
Item 74,3,check
Item 75,8,check
Item 76,29,check
Item 77,N/A,ok
Item 78,46,ok
Item 79,-,check
Item 80,N/A,check
