Item Code,Outlet,stock_qty,inbound,daily_sales,supplier_lead_time,unit_cost,Model,Case Pack,Expected Receipt Date
EL-POW-001,Mumbai,71,111,3.0,30,1299,PowerBank 10K,6,2026-08-21
EL-POW-001,Delhi,471,105,4.9,30,1299,PowerBank 10K,12,2026-08-22
EL-POW-001,Bengaluru,111,29,2.2,30,"Rs. 1,299",PowerBank 10K,6,2026-09-07
EL-POW-001,Hyderabad,14,0,0.9,15,"₹1,299",PowerBank 10K,12,
EL-POW-001,Chennai, 47 ,0,0.9,20,"1,299.00",PowerBank 10K,12,
EL-POW-001,Kolkata,36,0,2.9,20,1299,PowerBank 10K,,
EL-POW-001,Pune,3,0,0.6,15,"Rs. 1,299",PowerBank 10K,6,
EL-POW-001,Ahmedabad,108,0,3.5,20,"1,299.00",PowerBank 10K,12,
EL-POW-001,Jaipur,63,0,2.6,15,1299,PowerBank 10K,,
EL-POW-001,Lucknow,212,0,4.7,30,1299,PowerBank 10K,24,
EL-POW-001,Surat,22,0,0.5,15,"Rs. 1,299",PowerBank 10K,24,
EL-POW-001,Indore,147,0,1.5,30,"Rs. 1,299",PowerBank 10K,12,
EL-POW-001,Nagpur,51,0,1.1,15,"₹1,299",PowerBank 10K,12,
EL-POW-001,Kochi,265,0,4.2,20,1299,PowerBank 10K,,
EL-POW-001,Chandigarh,393,53,4.3,30,1299,PowerBank 10K,,2026-09-19
EL-POW-001,Bhopal,12,0,1.2,15,1299,PowerBank 10K,24,
EL-POW-001,Patna,189,0,5.0,30,1299,PowerBank 10K,6,
EL-POW-001,Vadodara,71,0,2.4,15,"Rs. 1,299",PowerBank 10K,,
EL-POW-002,Mumbai,208,0,4.1,30,1299,PowerBank 10K,,
EL-POW-002,Delhi,240,0,4.1,20,1299,PowerBank 10K,,
EL-POW-002,Bengaluru,97,0,1.9,20,1299,PowerBank 10K,12,
EL-POW-002,Hyderabad,28,8,0.8,20,1299,PowerBank 10K,6,2026-08-28
EL-POW-002,Chennai,1,27,0.3,15,"₹1,299",PowerBank 10K,,
EL-POW-002,Kolkata,101,0,2.6,30,"₹1,299",PowerBank 10K,6,
EL-POW-002,Pune,38,0,2.2,15,1299,PowerBank 10K,12,
EL-POW-002,Ahmedabad,3.5,0,1.4,20,1299,PowerBank 10K,24,
EL-POW-002,Jaipur,138,0,3.2,15,1299,PowerBank 10K,12,
EL-POW-002,Lucknow,98,0,1.6,20,1299,PowerBank 10K,24,
EL-POW-002,Surat,178,0,4.1,20,N/A,PowerBank 10K,6,
EL-POW-002,Indore,35,49,4.2,15,"₹1,299",PowerBank 10K,6,2026-09-07
EL-POW-002,Nagpur,38,0,0.8,15,1299,PowerBank 10K,,
EL-POW-002,Kochi,270,103,4.0,20,1299,PowerBank 10K,24,2026-08-24
EL-POW-002,Chandigarh,226,45,2.6,30,1299,PowerBank 10K,6,2026-09-10
EL-POW-002,Bhopal,34,0,2.2,15,"₹1,299",PowerBank 10K,12,
EL-POW-002,Patna,87,-17,4.4,30,"Rs. 1,299",PowerBank 10K,12,
EL-POW-002,Vadodara,19,0,1.9,,"₹1,299",PowerBank 10K,12,
EL-POW-003,Mumbai,100,0,4.2,20,"1,299.00",PowerBank 10K,6,
EL-POW-003,Delhi,11,0,0.4,30,"₹1,299",PowerBank 10K,12,
EL-POW-003,Bengaluru,67,0,4.1,20 days,"1,299.00",PowerBank 10K,,
EL-POW-003,Hyderabad,8,0,1.5,20,"Rs. 1,299",PowerBank 10K,6,
EL-POW-003,Chennai,135,0,,15,1299,PowerBank 10K,12,
EL-POW-003,Kolkata,0,0,1.8,30,1299,PowerBank 10K,12,
EL-POW-003,Pune,56,19,1.2,15,1299,PowerBank 10K,6,2026-08-23
EL-POW-003,Ahmedabad,(4),0,2.3,15,1299,PowerBank 10K,12,
EL-POW-003,Jaipur,155,0,4.8,20,"₹1,299",PowerBank 10K,,
EL-POW-003,Lucknow,30,0,0.8,15,"Rs. 1,299",PowerBank 10K,,
EL-POW-003,Surat,67,41,3.3,30,"Rs. 1,299",PowerBank 10K,24,2026-08-27
EL-POW-003,Indore,204,72,4.4,15,"Rs. 1,299",PowerBank 10K,12,2026-09-12
EL-POW-003,Indore,204,72,4.4,15,"Rs. 1,299",PowerBank 10K,12,2026-09-12
EL-POW-003,Nagpur,293,0,3.8,30,"₹1,299",PowerBank 10K,12,
,Kochi,143,0,2.9,15,"1,299.00",PowerBank 10K,24,
EL-POW-003,Chandigarh,156,0,2.6,30,"₹1,299",PowerBank 10K,6,
EL-POW-003,Bhopal,137,0,4.1,15,"₹1,299",PowerBank 10K,12,
EL-POW-003,Patna, 160 ,0,2.2,30,"1,299.00",PowerBank 10K,12,
EL-POW-003,Vadodara,38,0,1.5,20,"Rs. 1,299",PowerBank 10K,,
EL-POW-004,Mumbai,14,0,0.4,20,"Rs. 1,299",PowerBank 10K,24,
EL-POW-004,Delhi,105,26,2.2,20,1299,PowerBank 10K,6,2026-08-22
EL-POW-004,Bengaluru,101,0,4.4,20,"Rs. 1,299",PowerBank 10K,12,
EL-POW-004,Hyderabad,149,0,3.9,15,"1,299.00",PowerBank 10K,6,
EL-POW-004,Chennai,73,0,1.4,30,"1,299.00",PowerBank 10K,12,
EL-POW-004,Kolkata,202,0,3.4,20,1299,PowerBank 10K,,
EL-POW-004,Pune,168,0,4.2,30,"₹1,299",PowerBank 10K,24,
EL-POW-004,Ahmedabad,1,36,4.5,20,"₹1,299",PowerBank 10K,12,2026-08-28
EL-POW-004,Jaipur, 20 ,0,0.6,15,1299,PowerBank 10K,24,
EL-POW-004,Lucknow,219,0,4.6,20,"Rs. 1,299",PowerBank 10K,6,
EL-POW-004,Surat,39,0,2.4,30,1299,PowerBank 10K,6,
