Article,Branch,Qty On Hand,Open PO,run_rate,replenishment_days,Rate,Style,Colour,Size
FW-RUNN-BLK-UK6,Mumbai Store,23,29,2.9,10,2299,Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Delhi Store,9,0,1.2,10,"₹2,299",Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Bengaluru Store,112,0,1.7,21,"₹2,299",Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Hyderabad Store,8,0,0.9,14,2299,Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Chennai Store,13,0,0.9,14,"₹2,299",Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Kolkata Store,4,0,2.1,14,"₹2,299",Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Pune Store,18,0,1.0,14,"Rs. 2,299",Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Ahmedabad Store,49,24,1.8,14,"Rs. 2,299",Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Jaipur Store, 8 ,5,0.5,14,"₹2,299",Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Lucknow Store, 2 ,0,0.9,10,"Rs. 2,299",Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Surat Store,20,0,0.7,14,2299,Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Indore Store,44,0,2.0,10,2299,Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Nagpur Store,5,0,2.8,14,2299,Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Kochi Store,52,0,2.3,14,"₹2,299",Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Chandigarh Store,112,0,2.5,14,"Rs. 2,299",Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Bhopal Store, 29 ,0,0.7,21,2299,Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Patna Store,40,11,1.2,10,"₹2,299",Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Vadodara Store,14,0,0.5,14,2299,Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Ludhiana Store,20,0,2.5,10,2299,Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Agra Store,51,22,2.0,10,"₹2,299",Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Nashik Store, 113 ,0,2.8,21,"2,299.00",Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Meerut Store,54,0,1.9,10,"₹2,299",Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Rajkot Store,80,17,2.0,14,2299,Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Varanasi Store,59,0,2.5,10,2299,Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Amritsar Store,124,0,2.7,21,"₹2,299",Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Noida Store,21.5,0,0.6,21,"₹2,299",Runner Flex,BLK,UK6
