product_code,site,on_hand,pending_po,offtake,lead_time_in_days,asp,Item
HD-001-CUSH,Mumbai,0,0,0.1,12,Rs. 399,Cushion Velvet
HD-001-CUSH,Delhi,31,12,0.4,25,Rs. 399,Cushion Velvet
HD-001-CUSH,Bengaluru,54,0,0.9,18,₹399,Cushion Velvet
HD-001-CUSH,Hyderabad, 0 ,0,0.3,25,₹399,Cushion Velvet
HD-001-CUSH,Chennai,21,0,0.6,25,Rs. 399,Cushion Velvet
HD-001-CUSH,Kolkata,33,0,0,12,₹399,Cushion Velvet
HD-001-CUSH,Pune,5,6,0.6,12,399,Cushion Velvet
HD-001-CUSH,Ahmedabad,32,18,0.9,18,₹399,Cushion Velvet
HD-001-CUSH,Jaipur,22,0,1.0,25,Rs. 399,Cushion Velvet
HD-001-CUSH,Lucknow,2,0,0.5,18,₹399,Cushion Velvet
HD-001-CUSH,Surat,25,0,0.7,18,399,Cushion Velvet
HD-001-CUSH,Indore,45,0,0.9,18,399,Cushion Velvet
HD-002-CUSH,Mumbai,0,0,0.0,25,799,Cushion Velvet
HD-002-CUSH,Delhi,20,0,0.5,25,₹799,Cushion Velvet
HD-002-CUSH,Bengaluru,32,0,1.2,18,₹799,Cushion Velvet
HD-002-CUSH,Hyderabad,2,2,0.1,25,₹799,Cushion Velvet
HD-002-CUSH,Chennai,2,25,1.0,25,799,Cushion Velvet
HD-002-CUSH,Kolkata,0,0,0.2,18,Rs. 799,Cushion Velvet
HD-002-CUSH,Pune,2,0,0,18,₹799,Cushion Velvet
HD-002-CUSH,Ahmedabad,4,0,0.9,25,799,Cushion Velvet
HD-002-CUSH,Jaipur,8,2,0.1,25,₹799,Cushion Velvet
HD-002-CUSH,Lucknow,7,0,0.5,12,799.00,Cushion Velvet
HD-002-CUSH,Surat,9,0,0.9,12,799,Cushion Velvet
HD-002-CUSH,Indore,19,4,0.6,18,₹799,Cushion Velvet
HD-003-CUSH,Mumbai,33,0,1.2,12,799,Cushion Velvet
HD-003-CUSH,Delhi,19.5,13,1.0,12,799,Cushion Velvet
HD-003-CUSH,Bengaluru,1,0,0.1,25,Rs. 799,Cushion Velvet
HD-003-CUSH,Hyderabad,0,0,0.1,12,799,Cushion Velvet
HD-003-CUSH,Chennai,28,14,0.9,12,N/A,Cushion Velvet
HD-003-CUSH,Kolkata,11,0,0.4,25,799,Cushion Velvet
HD-003-CUSH,Pune,19,0,0.7,25,799,Cushion Velvet
HD-003-CUSH,Ahmedabad,7,0,0,18,799,Cushion Velvet
HD-003-CUSH,Jaipur,3,0,0.8,12,Rs. 799,Cushion Velvet
HD-003-CUSH,Lucknow,15,0,0.6,12,799,Cushion Velvet
HD-003-CUSH,Surat, 17 ,-16,0.9,25,799,Cushion Velvet
HD-003-CUSH,Indore,0,0,0.1,,799,Cushion Velvet
HD-004-CUSH,Mumbai,9,3,0.4,12,"₹1,499",Cushion Velvet
HD-004-CUSH,Delhi,53,21,0.9,18,1499,Cushion Velvet
HD-004-CUSH,Bengaluru,9,0,0.8,12 days,"₹1,499",Cushion Velvet
HD-004-CUSH,Hyderabad,0,0,0.0,18,"Rs. 1,499",Cushion Velvet
HD-004-CUSH,Chennai,22,0,,25,1499,Cushion Velvet
HD-004-CUSH,Kolkata,12,0,0.5,18,"₹1,499",Cushion Velvet
HD-004-CUSH,Pune,12,0,0.7,25,1499,Cushion Velvet
HD-004-CUSH,Ahmedabad,-9,0,0.4,18,"₹1,499",Cushion Velvet
HD-004-CUSH,Jaipur,15,0,0,12,1499,Cushion Velvet
HD-004-CUSH,Lucknow,10,0,0.5,18,1499,Cushion Velvet
HD-004-CUSH,Surat,4,14,0.9,18,"₹1,499",Cushion Velvet
HD-004-CUSH,Indore,39,0,0.8,25,1499,Cushion Velvet
HD-004-CUSH,Indore,39,0,0.8,25,1499,Cushion Velvet
HD-005-CUSH,Mumbai,4,0,0.7,12,399,Cushion Velvet
,Delhi,6,0,0.6,25,₹399,Cushion Velvet
HD-005-CUSH,Bengaluru,3,0,0.5,18,399,Cushion Velvet
HD-005-CUSH,Hyderabad,15,0,0.4,12,399,Cushion Velvet
HD-005-CUSH,Chennai,22,0,0.7,12,Rs. 399,Cushion Velvet
HD-005-CUSH,Kolkata,8,11,0.5,18,399.00,Cushion Velvet
HD-005-CUSH,Pune,11,0,0.4,25,399.00,Cushion Velvet
HD-005-CUSH,Ahmedabad,2,0,0.8,12,Rs. 399,Cushion Velvet
HD-005-CUSH,Jaipur,1,0,0.2,12,399,Cushion Velvet
HD-005-CUSH,Lucknow,3,0,0,18,399,Cushion Velvet
HD-005-CUSH,Surat,51,0,1.0,25,399,Cushion Velvet
HD-005-CUSH,Indore,20,10,0.7,18,Rs. 399,Cushion Velvet
HD-006-CUSH,Mumbai,21,0,1.0,18,799,Cushion Velvet
HD-006-CUSH,Delhi,0,0,0.0,25,799,Cushion Velvet
HD-006-CUSH,Bengaluru,1,0,0.2,18,799.00,Cushion Velvet
HD-006-CUSH,Hyderabad,15,6,0.8,12,₹799,Cushion Velvet
HD-006-CUSH,Chennai,1,0,0.9,12,799,Cushion Velvet
HD-006-CUSH,Kolkata,20,9,0.6,12,799,Cushion Velvet
HD-006-CUSH,Pune,0,0,0.1,18,799,Cushion Velvet
HD-006-CUSH,Ahmedabad,28,15,1.0,12,799,Cushion Velvet
HD-006-CUSH,Jaipur,12,0,0.8,12,799.00,Cushion Velvet
HD-006-CUSH,Lucknow,23,6,0.9,12,₹799,Cushion Velvet
HD-006-CUSH,Surat,47,12,0,25,₹799,Cushion Velvet
HD-006-CUSH,Indore,21,0,0.6,12,Rs. 799,Cushion Velvet
HD-007-CUSH,Mumbai,13,6,0.4,12,1499,Cushion Velvet
HD-007-CUSH,Delhi,65,19,1.0,25,1499,Cushion Velvet
HD-007-CUSH,Bengaluru,34,0,1.1,12,"1,499.00",Cushion Velvet
