Design Code,Showroom,Stock,Incoming,Daily Sales,Lead Time,Tag Price,Sold-W8,Sold-W7,Sold-W6,Sold-W5,Sold-W4,Sold-W3,Sold-W2,Sold-W1
JW-GOLD-01,Mumbai Showroom,6,0,0.3,20,49999,2,2,2,3,2,2,2,2
JW-GOLD-01,Delhi Showroom,8,0,0.4,20,49999,2,3,2,3,3,3,3,3
JW-GOLD-01,Bengaluru Showroom,27,11,0.5,20,"₹49,999",3,3,4,4,4,4,3,4
JW-GOLD-01,Hyderabad Showroom,21,0,0.3,30,49999,2,2,2,2,2,2,2,2
JW-GOLD-01,Chennai Showroom,24,15,0.5,30,49999,3,3,3,3,4,4,3,3
JW-GOLD-01,Kolkata Showroom,4,0,0.2,20,"Rs. 49,999",2,2,2,3,3,2,2,2
JW-GOLD-01,Pune Showroom,18,0,0.6,30,49999,4,4,4,4,3,5,3,5
JW-GOLD-01,Ahmedabad Showroom,16,11,0.5,20,"₹49,999",4,3,3,4,3,3,4,3
JW-GOLD-02,Mumbai Showroom,112,0,0.5,30,"₹9,999",7,7,7,7,7,7,7,7
JW-GOLD-02,Delhi Showroom,6,2,0.1,20,9999,2,3,2,2,2,3,2,2
JW-GOLD-02,Bengaluru Showroom,16,0,0.2,45,"₹9,999",2,2,2,3,3,2,2,2
JW-GOLD-02,Hyderabad Showroom,32,0,0.6,30,9999,5,5,4,4,5,4,5,5
JW-GOLD-02,Chennai Showroom,3,0,0.3,30,9999,2,2,2,3,2,2,2,2
JW-GOLD-02,Kolkata Showroom,31,0,0.5,30,9999,4,4,3,3,4,3,3,3
JW-GOLD-02,Pune Showroom, 18 ,0,0.4,45,9999,2,2,3,3,3,3,3,3
JW-GOLD-02,Ahmedabad Showroom,7,0,0.2,30,9999,2,2,2,2,2,2,2,2
JW-GOLD-03,Mumbai Showroom,44,0,0.5,30,24999,3,4,4,3,3,4,3,3
JW-GOLD-03,Delhi Showroom,4,0,0.2,20,"Rs. 24,999",2,2,2,3,2,2,2,3
JW-GOLD-03,Bengaluru Showroom,62,0,0.6,45,"₹24,999",3,4,5,5,3,5,5,5
JW-GOLD-03,Hyderabad Showroom,4,0,0.2,30,"₹24,999",2,2,2,2,2,3,2,2
JW-GOLD-03,Chennai Showroom,33, 13 ,0.3,45,"24,999.00",2,2,2,2,2,2,2,3
JW-GOLD-03,Kolkata Showroom,12,0,0.4,30,"₹24,999",3,3,3,2,2,3,3,2
JW-GOLD-03,Pune Showroom,5,0,0.1,20,24999,2,2,3,3,2,2,2,3
JW-GOLD-03,Ahmedabad Showroom,3,0,0.1,45,"Rs. 24,999",2,2,2,2,2,2,2,2
JW-GOLD-04,Mumbai Showroom,14,0,0.1,45,9999,2,2,2,2,2,2,2,2
JW-GOLD-04,Delhi Showroom,45.5,0,0.6,30,9999,3,5,5,4,5,3,5,3
JW-GOLD-04,Bengaluru Showroom,53,0,0.4,45,"₹9,999",3,3,3,2,2,3,3,3
JW-GOLD-04,Hyderabad Showroom,112,0,0.3,20,9999,4,4,4,4,4,4,4,4
JW-GOLD-04,Chennai Showroom,0,0,0.2,20,N/A,2,2,3,2,2,2,2,2
JW-GOLD-04,Kolkata Showroom,7,33,0.6,45,"₹9,999",3,4,4,4,5,5,4,3
JW-GOLD-04,Pune Showroom,41,0,0.4,45,"9,999.00",3,3,3,3,3,2,3,2
JW-GOLD-04,Ahmedabad Showroom,0,0,0.2,45,"₹9,999",3,2,2,2,2,3,2,2
JW-GOLD-05,Mumbai Showroom,38,13,0.4,30,"₹4,999",3,3,2,3,3,3,3,2
JW-GOLD-05,Delhi Showroom,32,0,0.5,30,4999,3,4,4,4,4,4,3,4
JW-GOLD-05,Bengaluru Showroom,22,-17,0.6,45,4999,4,3,3,4,5,4,3,4
JW-GOLD-05,Hyderabad Showroom,17,0,0.5,,"₹4,999",4,3,3,3,4,4,4,4
JW-GOLD-05,Chennai Showroom,3,0,0.4,45,"Rs. 4,999",3,3,3,2,2,3,3,3
JW-GOLD-05,Kolkata Showroom, 15 ,0,0.4,30,"₹4,999",3,3,3,3,3,3,3,2
JW-GOLD-05,Pune Showroom,7,2,0.1,30 days,4999,2,2,2,2,2,2,3,2
JW-GOLD-05,Ahmedabad Showroom,50,0,0.5,30,"Rs. 4,999",4,3,4,4,3,3,3,3
JW-GOLD-06,Mumbai Showroom,10,0,,45,89999,2,2,2,2,2,2,2,2
JW-GOLD-06,Delhi Showroom,14,0,0.4,20,89999,2,3,3,3,3,3,3,3
JW-GOLD-06,Bengaluru Showroom,1,0,0.4,20,89999,3,3,3,3,2,3,3,2
JW-GOLD-06,Hyderabad Showroom,(8),0,0.6,30,89999,4,4,4,4,4,5,4,4
JW-GOLD-06,Chennai Showroom,14,0,0.1,45,89999,2,2,2,2,2,2,2,2
JW-GOLD-06,Kolkata Showroom,4,0,0.1,20,"₹89,999",3,3,2,3,2,2,2,2
JW-GOLD-06,Pune Showroom,112,0,0.5,45,"₹89,999",7,7,7,7,7,7,7,7
JW-GOLD-06,Ahmedabad Showroom,13,0,0.4,30,89999,2,3,2,3,2,3,3,3
JW-GOLD-06,Ahmedabad Showroom,13,0,0.4,30,89999,2,3,2,3,2,3,3,3
JW-SILV-07,Mumbai Showroom,41,0,0.5,45,"₹4,999",3,3,4,4,3,4,4,3
,Delhi Showroom,4,0,0.1,30,4999,3,3,2,3,2,2,3,2
JW-SILV-07,Bengaluru Showroom,19,0,0.3,20,4999,2,2,3,2,2,3,2,2
JW-SILV-07,Hyderabad Showroom,19,0,0.4,45,4999,2,2,3,2,3,3,3,3
JW-SILV-07,Chennai Showroom,6,0,0.1,20,"4,999.00",2,2,2,2,2,3,2,2
JW-SILV-07,Kolkata Showroom,34,0,0.4,30,4999,3,3,2,3,3,3,3,3
JW-SILV-07,Pune Showroom,1,0,0.2,30,4999,2,2,2,2,3,2,2,2
JW-SILV-07,Ahmedabad Showroom,11,6,0.4,20,"4,999.00",3,3,3,2,3,3,3,2
JW-SILV-08,Mumbai Showroom,0,0,0.3,20,"Rs. 24,999",2,2,2,2,2,2,3,2
JW-SILV-08,Delhi Showroom,7,0,0.2,45,24999,2,2,2,2,2,2,2,2
JW-SILV-08,Bengaluru Showroom,6,0,0.2,30,24999,2,2,2,2,2,3,2,2
JW-SILV-08,Hyderabad Showroom,12,0,0.2,20,"Rs. 24,999",2,2,3,2,2,2,2,2
JW-SILV-08,Chennai Showroom,49,0,0.5,45,"Rs. 24,999",4,4,4,3,3,3,4,3
JW-SILV-08,Kolkata Showroom,3,0,0.2,30,24999,2,2,2,2,2,2,3,2
JW-SILV-08,Pune Showroom,2,0,0.3,45,"Rs. 24,999",2,2,2,2,2,2,2,2
JW-SILV-08,Ahmedabad Showroom,13,3,0.2,30,24999,2,2,2,2,2,2,2,2
JW-SILV-09,Mumbai Showroom,6,0,0.1,30,"₹49,999",2,2,2,2,2,2,2,3
JW-SILV-09,Delhi Showroom,112,0,0.5,30,49999,7,7,7,7,7,7,7,7
JW-SILV-09,Bengaluru Showroom,33,11,0.6,20,49999,5,5,3,4,4,5,4,5
JW-SILV-09,Hyderabad Showroom,2,0,0.2,45,"Rs. 49,999",3,2,2,2,2,2,2,2
JW-SILV-09,Chennai Showroom,9,0,0.1,30,"Rs. 49,999",2,2,2,2,3,2,2,2
JW-SILV-09,Kolkata Showroom,10,0,0.1,45,49999,2,2,2,2,2,2,2,2
JW-SILV-09,Pune Showroom,13,0,0.2,45,"49,999.00",2,2,2,2,3,2,2,2
JW-SILV-09,Ahmedabad Showroom,3,0,0.1,30,"Rs. 49,999",2,2,2,2,2,2,2,3
JW-SILV-10,Mumbai Showroom,14,22,0.4,45,9999,3,3,2,2,3,3,2,3
JW-SILV-10,Delhi Showroom,25,6,0.6,20,"9,999.00",4,3,5,5,5,4,4,5
JW-SILV-10,Bengaluru Showroom,20,8,0.2,45,"Rs. 9,999",2,2,2,2,3,2,2,2
JW-SILV-10,Hyderabad Showroom,13,0,0.1,45,9999,2,2,2,3,2,2,2,2
JW-SILV-10,Chennai Showroom,33,12,0.5,45,"9,999.00",3,4,3,3,4,4,4,4
JW-SILV-10,Kolkata Showroom,24,0,0.3,30,"9,999.00",2,2,3,2,2,2,2,2
JW-SILV-10,Pune Showroom,21.5,0,0.3,30,"Rs. 9,999",3,2,2,2,2,2,2,2
JW-SILV-10,Ahmedabad Showroom,21,0,0.2,45,9999,2,2,3,2,3,3,2,2
JW-SILV-11,Mumbai Showroom,7,2,0.3,20,"₹9,999",2,2,2,2,3,2,3,2
JW-SILV-11,Delhi Showroom,36,0,0.5,30,"₹9,999",3,4,3,3,4,3,3,4
JW-SILV-11,Bengaluru Showroom,6,0,0.1,20,9999,2,2,2,2,3,2,2,2
JW-SILV-11,Hyderabad Showroom,35,0,0.4,45,9999,3,3,3,3,3,3,3,3
JW-SILV-11,Chennai Showroom,112,0,0.1,45,9999,1,1,1,1,1,1,1,1
JW-SILV-11,Kolkata Showroom,38,0,0.3,45,9999,2,2,2,3,2,3,2,2
JW-SILV-11,Pune Showroom,18,9,0.5,45,"9,999.00",4,4,3,4,4,4,3,3
JW-SILV-11,Ahmedabad Showroom,16,0,0.5,20,N/A,3,4,3,4,4,3,4,3
JW-SILV-12,Mumbai Showroom,26,6,0.3,45,"₹4,999",2,2,2,2,2,2,2,2
JW-SILV-12,Delhi Showroom,6,0,0.2,20,"₹4,999",2,2,3,2,2,2,3,3
JW-SILV-12,Bengaluru Showroom,3,0,0.4,45,"₹4,999",3,3,3,2,3,3,3,3
JW-SILV-12,Hyderabad Showroom,22,0,0.4,30,4999,3,3,3,3,2,3,2,2
JW-SILV-12,Chennai Showroom,2,0,0.4,30,"₹4,999",3,3,2,3,3,2,3,3
JW-SILV-12,Kolkata Showroom,15,0,0.5,20,4999,3,4,4,4,3,4,4,3
JW-SILV-12,Pune Showroom,19,15,0.6,30,"₹4,999",5,4,4,5,4,5,4,5
JW-SILV-12,Ahmedabad Showroom,4,8,0.2,30,"₹4,999",3,2,2,2,2,2,2,2
JW-DIAM-13,Mumbai Showroom,30,0,0.4,45,9999,3,2,3,3,3,3,3,3
JW-DIAM-13,Delhi Showroom,43,0,0.5,30,"₹9,999",4,3,3,3,4,3,3,3
JW-DIAM-13,Bengaluru Showroom,26,0,0.4,20,"₹9,999",3,3,2,3,3,3,2,3
JW-DIAM-13,Hyderabad Showroom,24,17,0.3,45,9999,2,2,2,2,2,2,2,2
JW-DIAM-13,Chennai Showroom,57,18,0.4,45,"Rs. 9,999",3,3,3,3,2,2,2,3
JW-DIAM-13,Kolkata Showroom,20,4,0.3,20,"Rs. 9,999",2,2,2,2,3,2,2,2
JW-DIAM-13,Pune Showroom,6,0,0.1,20,9999,2,2,2,2,2,2,2,2
