sku,store,soh,qoo,ads,lead_time,unit_price
MX-0001,Mumbai,48,0,3.4,7,1999
MX-0001,Delhi,55,0,2.2,14,1999
MX-0001,Bengaluru,137,0,4.0,14,1999
MX-0001,Hyderabad,25,0,6.9,7,1999
MX-0001,Chennai,46,0,5.8,5,1999
MX-0001,Kolkata,117,32,3.5,10,1999
MX-0001,Pune,23,0,3.8,5,1999
MX-0001,Ahmedabad,80,0,3.6,7,1999
MX-0001,Jaipur,5,0,1.5,14,1999
MX-0001,Lucknow,78,0,5.0,14,1999
MX-0001,Surat,82,0,7.8,7,1999
MX-0001,Indore,12,0,5.6,5,1999
MX-0001,Nagpur,6,0,3.4,5,1999
MX-0001,Kochi,168,0,7.4,21,1999
MX-0001,Chandigarh, 6 ,0,1.1,10,1999
MX-0001,Bhopal,49,53,6.7,10,1999
MX-0001,Patna,92,40,4.4,7,1999
MX-0001,Vadodara,107,0,6.9,7,1999
MX-0001,Ludhiana,59,0,6.5,7,1999
MX-0001,Agra,8,0,3.5,10,1999
MX-0001,Nashik,64,0,4.4,10,1999
MX-0001,Meerut,338,117,5.5,21,1999
MX-0001,Rajkot,19,0,1.7,5,1999
MX-0001,Varanasi,120,0,5.4,10,1999
MX-0001,Amritsar, 1 ,0,6.9,14,1999
MX-0001,Noida,31.5,0,2.6,7,1999
MX-0001,Gurugram,151,0,6.8,14,1999
MX-0001,Coimbatore,5,0,0.4,5,1999
MX-0001,Madurai,115,0,3.5,10,N/A
MX-0001,Guwahati,18,8,1.0,14,1999
MX-0001,Mumbai City Mall,143,0,7.2,14,1999
MX-0001,Delhi City Mall,49,32,1.8,14,1999
MX-0001,Bengaluru City Mall,510,216,8.0,21,1999
MX-0001,Hyderabad City Mall,107,30,4.3,14,1999
MX-0001,Chennai City Mall,3,-6,0.2,21,1999
MX-0001,Kolkata City Mall,8,0,1.3,,1999
MX-0001,Pune City Mall,6,0,2.5,14,1999
MX-0001,Ahmedabad City Mall,7,0,1.1,7,1999
MX-0001,Jaipur City Mall,21,0,1.7,21 days,1999
MX-0001,Lucknow City Mall, 21 ,0,1.1,7,1999
MX-0001,Surat City Mall,33,0,,14,1999
MX-0001,Indore City Mall,70,0,6.1,21,1999
MX-0001,Nagpur City Mall,21,18,3.6,10,1999
MX-0001,Kochi City Mall,-4,0,7.5,7,1999
MX-0001,Chandigarh City Mall,368,0,5.9,21,1999
MX-0001,Bhopal City Mall,118,0,6.7,14,1999
MX-0001,Patna City Mall,1,0,0.4,7,1999
MX-0001,Vadodara City Mall,20,0,2.5,5,1999
MX-0001,Vadodara City Mall,20,0,2.5,5,1999
MX-0001,Ludhiana City Mall,141,0,4.9,10,1999
,Agra City Mall,29,0,2.3,7,1999
MX-0002,Mumbai,149,0,7.5,14,1999
MX-0002,Delhi,12,0,3.4,5,1999
MX-0002,Bengaluru,8,0,0.9,5,1999
MX-0002,Hyderabad,15,0,7.6,10,1999
MX-0002,Chennai,57,7,3.6,5,1999
MX-0002,Kolkata,13,14,0.8,21,1999
MX-0002,Pune,71,0,4.1,7,1999
MX-0002,Ahmedabad,5,0,1.8,7,1999
MX-0002,Jaipur,86,0,5.6,7,1999
MX-0002,Lucknow,80,0,4.3,14,1999
MX-0002,Surat,104,0,6.2,10,1999
MX-0002,Indore,23,0,3.6,10,1999
MX-0002,Nagpur,2,0,7.2,10,1999
MX-0002,Kochi,14,0,1.1,10,1999
MX-0002,Chandigarh,3,0,0.6,5,1999
MX-0002,Bhopal,102,0,3.2,10,1999
MX-0002,Patna,3,0,6.3,5,1999
MX-0002,Vadodara,66,25,6.1,5,1999
MX-0002,Ludhiana,119,0,5.9,14,1999
MX-0002,Agra,13,0,2.9,5,1999
MX-0002,Nashik,12,0,2.7,5,1999
MX-0002,Meerut,6,0,5.4,21,1999
MX-0002,Rajkot,5,6,1.2,5,1999
MX-0002,Varanasi,38,0,2.7,7,1999
MX-0002,Amritsar,5,30,3.3,7,1999
MX-0002,Noida,3,0,4.8,5,1999
MX-0002,Gurugram,70,0,1.7,21,1999
MX-0002,Coimbatore,1,0,5.4,5,1999
MX-0002,Madurai,44.5,0,1.3,10,1999
MX-0002,Guwahati,29,0,1.6,14,1999
MX-0002,Mumbai City Mall,46,0,2.6,7,1999
MX-0002,Delhi City Mall,107,0,6.7,10,1999
MX-0002,Bengaluru City Mall,41,0,1.9,21,1999
MX-0002,Hyderabad City Mall,17,0,3.8,7,1999
MX-0002,Chennai City Mall,18,0,4.9,5,1999
MX-0002,Kolkata City Mall,77,18,2.8,14,1999
MX-0002,Pune City Mall,18,0,0.9,7,1999
MX-0002,Ahmedabad City Mall,26,0,1.1,10,N/A
MX-0002,Jaipur City Mall,18, 3 ,1.1,5,1999
MX-0002,Lucknow City Mall,86,0,5.3,10,1999
MX-0002,Surat City Mall,11,0,0.5,10,1999
MX-0002,Indore City Mall,280,0,6.5,21,1999
MX-0002,Nagpur City Mall, 271 ,0,4.5,21,1999
MX-0002,Kochi City Mall,14,0,4.8,7,1999
MX-0002,Chandigarh City Mall,27,0,4.6,10,1999
MX-0002,Bhopal City Mall,36,0,2.5,10,1999
MX-0002,Patna City Mall,18,11,0.9,14,1999
MX-0002,Vadodara City Mall,26,0,7.4,10,1999
MX-0002,Ludhiana City Mall,34,0,2.2,5,1999
MX-0002,Agra City Mall,227,0,4.8,21,1999
MX-0003,Mumbai,8,0,1.2,7,499
MX-0003,Delhi,25,0,4.4,7,499
MX-0003,Bengaluru,15,0,3.6,14,499
MX-0003,Hyderabad,16,0,2.0,5,499
MX-0003,Chennai,102,0,6.5,5,499
MX-0003,Kolkata,195,-7,7.4,10,499
MX-0003,Pune,44,30,5.8,5,499
MX-0003,Ahmedabad,19,5,1.9,5,499
MX-0003,Jaipur,225,0,6.9,,499
MX-0003,Lucknow,29,0,5.8,5,499
MX-0003,Surat,247,0,6.8,14,499
MX-0003,Indore,18,0,1.4,5,499
MX-0003,Nagpur,81,0,1.8,14,499
MX-0003,Kochi,27,0,0.8,14,499
MX-0003,Chandigarh,53,0,4.5,5,499
MX-0003,Bhopal,60,54,6.9,10,499
MX-0003,Patna,16,0,6.3,5,499
MX-0003,Vadodara,99,0,4.0,10 days,499
MX-0003,Ludhiana,15,8,0.6,14,499
MX-0003,Agra,147,0,5.6,10,499
MX-0003,Nashik,21,0,5.7,5,499
MX-0003,Meerut,54,0,3.2,7,499
MX-0003,Rajkot,2,0,1.6,5,499
MX-0003,Varanasi,37,29,,10,499
MX-0003,Amritsar,40,0,2.7,7,499
MX-0003,Noida,61,15,1.3,14,499
MX-0003,Gurugram,153,0,4.8,21,499
MX-0003,Coimbatore,70,0,7.7,14,499
MX-0003,Madurai,199,0,7.1,10,499
MX-0003,Guwahati,33,0,1.1,21,499
MX-0003,Mumbai City Mall, 15 ,0,4.8,7,499
MX-0003,Delhi City Mall,92.5,0,5.7,5,499
MX-0003,Bengaluru City Mall,(8),0,7.5,7,499
MX-0003,Hyderabad City Mall,25,12,3.1,10,499
MX-0003,Chennai City Mall,9,0,0.5,7,499
MX-0003,Kolkata City Mall,42,0,6.7,10,499
MX-0003,Pune City Mall,194,0,6.3,14,499
MX-0003,Ahmedabad City Mall,18,65,4.9,10,499
MX-0003,Jaipur City Mall,16,0,5.6,5,499
MX-0003,Lucknow City Mall,102,0,7.7,10,499
MX-0003,Surat City Mall,37,0,6.7,21,499
MX-0003,Indore City Mall,32,0,5.5,5,499
MX-0003,Nagpur City Mall,7,5,0.6,7,499
MX-0003,Kochi City Mall,45,0,7.0,10,499
MX-0003,Chandigarh City Mall,63,0,5.7,5,499
MX-0003,Chandigarh City Mall,63,0,5.7,5,499
MX-0003,Bhopal City Mall,9,0,3.9,5,499
MX-0003,Patna City Mall,31,0,7.4,5,N/A
MX-0003,Vadodara City Mall,11,0,0.9,21,499
MX-0003,Ludhiana City Mall,75,0,3.2,7,499
MX-0003,Agra City Mall,113,0,3.5,21,499
,Mumbai,35,0,2.0,10,3999
MX-0004,Delhi,15,0,6.3,7,3999
MX-0004,Bengaluru,231,0,7.9,10,3999
MX-0004,Hyderabad,0,0,0.3,5,3999
MX-0004,Chennai,196,42,7.4,10,3999
MX-0004,Kolkata,128,0,3.9,21,3999
MX-0004,Pune, 52 ,0,2.6,10,3999
MX-0004,Ahmedabad,65,16,4.5,7,3999
MX-0004,Jaipur,20,0,1.5,5,3999
MX-0004,Lucknow,34,0,3.5,5,3999
MX-0004,Surat,115,41,2.1,21,3999
MX-0004,Indore,159,0,2.3,21,3999
MX-0004,Nagpur,153,112,6.0,14,3999
MX-0004,Kochi,73,0,4.9,5,3999
MX-0004,Chandigarh,17,0,2.0,21,3999
MX-0004,Bhopal,38,0,2.4,7,3999
MX-0004,Patna,90,0,1.7,21,3999
MX-0004,Vadodara,243,0,4.0,21,3999
MX-0004,Ludhiana,19,0,2.1,10,3999
MX-0004,Agra,35,0,4.0,21,3999
MX-0004,Nashik,35,0,6.9,7,3999
MX-0004,Meerut,1,0,2.4,10,3999
MX-0004,Rajkot,5,0,2.3,5,3999
MX-0004,Varanasi,22,0,1.7,5,3999
MX-0004,Amritsar,242,60,3.6,21,3999
