item,shop,current_stock,intransit,avg_off_take_day,lt,price,Gear,bf,Units Sold Week 8,Units Sold Week 7,Units Sold Week 6,Units Sold Week 5,Units Sold Week 4,Units Sold Week 3,Units Sold Week 2,Units Sold Week 1
SP-YOGA-01,Mumbai,25,0,0.8,10,299,Yoga Mat Pro,,6,6,7,6,6,5,6,4
SP-YOGA-01,Delhi,111,0,4.5,10,299,Yoga Mat Pro,2.0,39,29,37,35,35,39,27,29
SP-YOGA-01,Bengaluru,39,0,5.7,7,299,Yoga Mat Pro,2.0,46,38,36,38,30,32,39,38
SP-YOGA-01,Hyderabad,61,0,3.5,7,Rs. 299,Yoga Mat Pro,,23,30,30,21,30,28,28,22
SP-YOGA-01,Chennai,42,0,3.7,10,Rs. 299,Yoga Mat Pro,,21,20,29,30,20,20,30,27
SP-YOGA-01,Kolkata,59,0,4.7,7,Rs. 299,Yoga Mat Pro,2.2,34,39,29,40,37,33,36,28
SP-YOGA-01,Pune,44,26,3.1,7,₹299,Yoga Mat Pro,,24,18,18,19,18,19,17,16
SP-YOGA-01,Ahmedabad,48,0,3.7,7,299,Yoga Mat Pro,,46,46,56,5,10,10,10,10
SP-YOGA-01,Jaipur,22,0,5.7,14,299,Yoga Mat Pro,,32,34,43,45,49,35,45,48
SP-YOGA-01,Lucknow,36,57,5.0,10,₹299,Yoga Mat Pro,,43,30,36,42,36,42,39,39
SP-YOGA-01,Surat,49,13,2.4,7,299,Yoga Mat Pro,,20,19,21,18,16,19,19,17
SP-YOGA-01,Indore,42,30,3.4,7,299,Yoga Mat Pro,,27,20,22,28,21,20,23,27
SP-YOGA-01,Nagpur,85,0,5.3,10,₹299,Yoga Mat Pro,,29,39,34,39,37,32,45,28
SP-YOGA-01,Kochi,14,0,0.5,14,Rs. 299,Yoga Mat Pro,,4,3,3,4,3,4,4,4
SP-YOGA-01,Chandigarh, 231 ,0,5.8,14,Rs. 299,Yoga Mat Pro,,50,34,42,33,44,38,42,35
SP-YOGA-01,Bhopal,51,23,3.1,14,₹299,Yoga Mat Pro,,23,21,23,16,19,22,24,25
